"staSeq","x.1","x.2","increase","diff"
14137,16.5,20.3,1,3.8
14187,7.9,10.7,1,2.8
14221,8,9.8,1,1.8
14247,7.34,4.9,0,-2.44
14314,14.298,23.2,1,8.902
14396,17.4,22.4,1,5
14441,19.455,36.44,1,16.985
14442,10.964,24,1,13.036
14470,47.3,63.9,1,16.6
14484,11,23.6,1,12.6
14584,28.65,45.0666666666667,1,16.4166666666667
14720,5.375,6.32,1,0.945
14731,25.5,23.3,0,-2.2
14842,11.7,26.1333333333333,1,14.4333333333333
14863,5.2,9.2,1,4
15020,12.15,9.36666666666667,0,-2.78333333333333
15046,14.8,25.4,1,10.6
15176,14.8,19.7333333333333,1,4.93333333333334
15312,5.125,6.35,1,1.225
15796,7.2,9.48,1,2.28
16044,8,12,1,4
16082,17.8,38.9,1,21.1
16089,9.6,18.9,1,9.3
16139,1.35,2.18,1,0.83
16143,17.4666666666667,26.65,1,9.18333333333333
16312,5.1,10.2,1,5.1
16313,4.9,11,1,6.1
16324,18.5,25.7,1,7.2
16331,2.9,4.2,1,1.3
16410,8.8,11.9,1,3.1
