STA_SEQ,locationName,Grp,Avg_TP
14137,Blackledge River,1,0.007
14137,Blackledge River,2,0.007
14186,Eightmile Brook,1,0.027
14186,Eightmile Brook,2,0.014
14187,Eightmile River,1,0.006
14187,Eightmile River,2,0.014
14221,Hammonasset River,1,0.014
14221,Hammonasset River,2,0.013666667
14247,Hollenbeck River,1,0.003
14247,Hollenbeck River,2,0.016333333
14314,Natchaug River,1,0.014166667
14314,Natchaug River,2,0.0095
14377,Pattaconk Brook,1,0.008
14377,Pattaconk Brook,2,0.01
14396,Pine Brook,1,0.009
14396,Pine Brook,2,0.007
14441,Salmon River,1,0.011
14441,Salmon River,2,0.00975
14442,Sandy Brook,1,0.007
14442,Sandy Brook,2,0.00875
14470,Tankerhoosen River,1,0.01475
14470,Tankerhoosen River,2,0.015222222
14484,West Branch Salmon Brook,1,0.0075
14484,West Branch Salmon Brook,2,0.00925
14584,Roaring Brook,1,0.032666667
14584,Roaring Brook,2,0.009666667
14592,Fenton River,1,0.007
14592,Fenton River,2,0.012
14594,Moosup River,1,0.0155
14594,Moosup River,2,0.014
14595,Quanduck Brook,1,0.011
14595,Quanduck Brook,2,0.011
14602,Merrick Brook,1,0.01
14602,Merrick Brook,2,0.015
14606,Middle River,1,0.01
14606,Middle River,2,0.015
14720,Green Fall River,1,0.0064
14720,Green Fall River,2,0.017055556
14731,Trading Cove Brook,1,0.023
14731,Trading Cove Brook,2,0.012
14842,Indian Meadow Brook,1,0.005
14842,Indian Meadow Brook,2,0.015
14888,Ekonk Brook,1,0.044
14888,Ekonk Brook,2,0.028
15020,Eightmile River,1,0.008
15020,Eightmile River,2,0.014
15035,Spruce Brook,1,0.008
15035,Spruce Brook,2,0.0065
15046,Charters Brook,1,0.01
15046,Charters Brook,2,0.017
15176,Natchaug River,1,0.009
15176,Natchaug River,2,0.012
15312,Beaver Brook,1,0.01175
15312,Beaver Brook,2,0.018
15315,Burnham Brook,1,0.017
15315,Burnham Brook,2,0.009833333
15531,Leadmine Brook,1,0.182
15531,Leadmine Brook,2,0.0095
15720,Blackwell Brook,1,0.03
15720,Blackwell Brook,2,0.0245
15796,PENDLETON HILL BROOK,1,0.0165
15796,PENDLETON HILL BROOK,2,0.020555556
16044,Chatfield Hollow Brook,1,0.0125
16044,Chatfield Hollow Brook,2,0.0285
16082,"Bunnell Brook (""Burlington Brook"")",1,0.009
16082,"Bunnell Brook (""Burlington Brook"")",2,0.018
16089,Morgan Brook,1,0.006
16089,Morgan Brook,2,0.015
16112,Hemlock Valley Brook,1,0.021
16112,Hemlock Valley Brook,2,0.013285
16114,Rugg Brook,1,0.012
16114,Rugg Brook,2,0.022333333
16119,Day Pond Brook,1,0.007
16119,Day Pond Brook,2,0.0108125
16121,Flat Brook,1,0.01
16121,Flat Brook,2,0.01175
16124,Flat Brook,1,0.009
16124,Flat Brook,2,0.0131875
16127,Jakes Brook,1,0.003
16127,Jakes Brook,2,0.01825
16139,Brown Brook,1,0.0075
16139,Brown Brook,2,0.011222222
16143,Little River,1,0.01775
16143,Little River,2,0.02225
16303,Moosup River,1,0.054
16303,Moosup River,2,0.034
16312,Mad River,1,0.007
16312,Mad River,2,0.011
16313,Mad River,1,0.004
16313,Mad River,2,0.008
16324,Dickinson Creek,1,0.006
16324,Dickinson Creek,2,0.003
16331,Sumner Brook,1,0.004
16331,Sumner Brook,2,0.004
16410,Roaring Brook No 2,1,0.006
16410,Roaring Brook No 2,2,0.011
16930,Oil Mill Brook,1,0.007
16930,Oil Mill Brook,2,0.029666667
