"BCG$STA_SEQ","BCG$SampYr"
14137,3
14186,3
14187,3
14221,7
14247,6
14314,19
14377,3
14396,3
14441,23
14442,24
14470,12
14484,7
14584,10
14589,3
14590,3
14592,3
14594,4
14595,3
14599,4
14602,4
14606,3
14720,18
14731,3
14840,2
14842,5
14843,2
14863,3
14866,4
14880,3
14888,3
14997,2
15003,2
15007,2
15015,3
15020,6
15024,2
15035,3
15046,3
15176,7
15240,6
15312,10
15315,7
15499,6
15520,2
15531,3
15720,2
15796,9
15901,3
15994,4
16044,3
16080,2
16082,2
16089,2
16106,2
16112,7
16114,7
16119,8
16121,3
16122,2
16124,8
16127,8
16135,2
16139,11
16143,8
16261,3
16288,2
16303,2
16312,2
16313,2
16324,2
16331,2
16387,3
16410,2
16416,2
16930,4
