TimeP,N,stdev,Min.,5%,25%,Median,Mean,75%,95%,Max.
5 Yrs,369,40.10818532,-133.4202898,-48.90902437,-13,0,4.079150834,16,78.96642683,262.0646901
5-10 Yrs,137,54.16130578,-255.2518428,-96.043119,-16.42982456,0,-4.604146732,17.125,68.78334258,221.4814815
10-20 Yrs,162,53.55987483,-238.984127,-121.5962875,-40.75304178,-13.37564453,-20.99907923,3.992753624,55.65014427,197.9545455
20-30 Yrs,173,68.87337813,-451.5384615,-157.2,-60.95238095,-22,-36.27525337,-1.07692308,35.2,258.5016648
,,,,,,,,,,
TimeP,N,stdev,Mean,Min.,5%,25%,Median,75%,95%,Max.
5 Yrs,369,40,4,-133,-49,-13,0,16,79,262
5-10 Yrs,137,54,-5,-255,-96,-16,0,17,69,221
10-20 Yrs,162,54,-21,-239,-122,-41,-13,4,56,198
20-30 Yrs,173,69,-36,-452,-157,-61,-22,-1,35,259
